_id,LOC_ID,LOC_NAME,AUSPICE,ADDRESS,PCODE,ward,PHONE,bldg_type,BLDGNAME,IGSPACE,TGSPACE,PGSPACE,KGSPACE,SGSPACE,TOTSPACE,subsidy,run_date,geometry
18,1067,Martingrove Child Care Centre,Commercial Agency,256 JOHN GARLAND BLVD,M9V 1N8,1,(416) 742-1812,House,,0,15,24,10,15,64,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.5909613881, 43.7342695614)}"
19,1070,Discovery Place Child Care Centre Ltd.,Commercial Agency,22 TUXEDO CRT,M1G 3S3,24,(416) 439-0521,Purpose Built,,10,20,48,20,45,143,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.22964266630001, 43.7805430702)}"
20,1072,Carefree Preschool,Commercial Agency,370 DIXON RD,M9R 1T2,1,(416) 244-5529,High Rise Apartment,,20,15,48,0,30,113,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.5561577436, 43.6959151803)}"
21,1079,East Scarb. Boys' & Girls' Club - Eastside Child Care Centre,Non Profit Agency,20 WALDOCK ST,M1E 2E5,24,(416) 287-0007,Public Elementary School,Eastview Public School,0,15,24,26,60,125,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.191280443, 43.758963359)}"
22,1082,Macaulay Child Development - Regent Street,Non Profit Agency,48 REGENT ST,M6N 3N9,5,(416) 653-8322,Purpose Built,,10,10,24,0,0,44,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.4700872989, 43.6810721434)}"
23,1083,Lori Gardens Centre For Early Learning,Commercial Agency,2405 FINCH AVE W,M9M 2X2,7,(416) 743-1222x221,High Rise Apartment,,10,15,28,22,25,100,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.544032103, 43.750621289)}"
24,1086,Network - Child's Nest Early Years And Child Care Centre - 123 Cosburn,Non Profit Agency,123 COSBURN AVE,M4J 2L1,14,(416) 530-0722x4077,House,,0,10,48,0,0,58,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.3472700626, 43.6894969221)}"
25,1091,Eastside Club Day Care - 100 Galloway Road,Non Profit Agency,100 GALLOWAY RD,M1E 1W7,24,(416) 281-0262x228,Community/Recreation Centre,,10,15,0,0,0,25,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.193338505, 43.757428446)}"
26,1093,Martin Luther Child Care - Superior,Non Profit Agency,5 SUPERIOR AVE,M8V 2M1,3,(416) 259-2861,House,,0,10,16,0,0,26,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.4876370893, 43.6149559543)}"
27,1094,Arbor Glen Community Child Care Centre,Non Profit Agency,55 FRESHMEADOW DR,M2H 3H6,17,(416) 886-0386,Public Elementary School,Arbor Glen Public School,0,0,24,26,45,95,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.3557126812, 43.8094949961)}"
28,1095,Frankland Day Care Centre,Non Profit Agency,816 LOGAN AVE,M4K 3E1,14,(416) 463-1413,Public Elementary School,Frankland Community School,0,0,0,26,50,76,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.349680084, 43.67715066800001)}"
29,1098,Early Adventures Nursery School & Child Care,Commercial Agency,200 MELROSE ST,M8Y 1B7,3,(416) 251-5151,Public Elementary School,George R Gauld Public School,0,15,24,26,30,95,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.498405689, 43.620566264)}"
30,1101,Beatty Buddies Daycare,Non Profit Agency,55 WOODINGTON AVE,M4C 3J6,19,(416) 570-8687,Public Elementary School,Earl Beatty Public School,0,15,40,52,75,182,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.321345627, 43.686068457000005)}"
31,1103,Selwyn Community Child Care Centre,Non Profit Agency,1 SELWYN AVE,M4B 3J9,19,(416) 285-9730,Public Elementary School,Selwyn Public School,0,0,22,20,40,82,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.3063291531, 43.7084482439)}"
32,1104,Mandi Day Care,Non Profit Agency,30 BARRHEAD CRES,M9W 3Z7,1,(416) 749-8110,Public (school closed),Mississauga Private School/ Rexdale (Closed),10,15,31,0,15,71,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.566552194, 43.719313229)}"
33,1107,Educare Kindergarten - Rathburn,Commercial Agency,18 FOUR SEASONS PL,M9B 6E7,2,(416) 620-0072,Office Building,Four Seasons Place,0,10,24,0,30,64,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.5627163167, 43.6469200352)}"
34,1111,Rolph Road Day Care,Non Profit Agency,31 ROLPH RD,M4G 3M5,15,(416) 487-5862,Public Elementary School,Rolph Road Public School,0,0,24,39,55,118,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.366000714, 43.699854125)}"
35,1115,Trimbee Early Learning & Child Care Centre,Public (City Operated) Agency,30 DENARDA ST,M6M 5C3,5,(416) 392-3705,High Rise Apartment,Trimbee Court,10,10,0,0,0,20,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.4925042867, 43.68924906)}"
36,1116,Guildwood Child Care,Commercial Agency,3969 KINGSTON RD,M1J 3H8,24,(416) 261-4476,High Rise Apartment,,10,20,32,12,30,104,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.2033413635, 43.75149072600001)}"
37,1123,Ernie Boccia Creative Child Day Care (Rasheda Alli),Commercial Agency,1 NORTHWESTERN AVE,M6M 2J7,5,(416) 653-6305,Other,Harold And Grace Baker Centre,10,20,16,0,0,46,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.469786324, 43.697936733)}"
38,1125,First Stage - Burnhamthorpe,Non Profit Agency,500 THE EAST MALL,M9B 2C4,2,(416) 394-7534,Public High School,Burnhamthorpe Collegiate Institute,10,15,16,0,0,41,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.561694872, 43.649167928)}"
39,1127,Fairbank Memorial Day Care Centre,Non Profit Agency,555 HARVIE AVE,M6E 4M2,9,(416) 656-8675,Public Elementary School,Fairbank Memorial,10,15,16,0,30,71,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.455405701, 43.691703239)}"
40,1129,First Stage - West Humber,Non Profit Agency,1675 MARTIN GROVE RD,M9V 3S3,1,(416) 394-7515,Public High School,West Humber Collegiate Institute,10,15,16,0,0,41,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.5867086973, 43.730930992)}"
41,1130,Red Apple Day Care (Overlea),Non Profit Agency,135 OVERLEA BLVD,M3C 1B3,15,(416) 429-5437,Public High School,Marc Garneau Collegiate Institute,10,10,16,0,0,36,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.3349711654, 43.7089842767)}"
42,1135,Fraser School - Community Day Care Centre,Non Profit Agency,79 MANNING AVE,M6J 2K6,10,(416) 603-7372,Public Elementary School,Charles G. Fraser Public School,0,10,40,26,45,121,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.409483626, 43.648530085)}"
43,1137,Golf Road School Child Care Centre Inc.,Non Profit Agency,730 SCARBOROUGH GOLF CLUB RD,M1G 1H7,24,(416) 289-1061,Public Elementary School,Golf Road Junior Public School,0,10,16,26,30,82,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.21688767, 43.763903609)}"
44,1138,McKee McKids Enrichment Centre,Non Profit Agency,35 CHURCH AVE,M2N 6X6,18,(416) 222-1414,Public Elementary School,McKee Public School,0,0,24,40,90,154,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.4110595077, 43.7741164636)}"
45,1140,Leaside Day Care Centre,Non Profit Agency,206 LAIRD DR,M4G 3W4,15,(416) 487-5862,Other,,20,35,44,0,0,99,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.3642025115, 43.7110991944)}"
46,1141,Gold Circle Early Childhood Day Care Centre,Non Profit Agency,25 POYNTER DR,M9R 1K8,2,(416) 241-2000,Public Elementary School,Westway Junior Public School,0,10,24,26,45,105,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.548993308, 43.690822116)}"
47,1148,Park Lawn Preschool,Non Profit Agency,71 BALLACAINE DR,M8Y 4B6,3,(416) 236-2974,Public Elementary School,Park Lawn Junior And Middle School,0,15,24,52,90,181,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.496450189, 43.6377151818)}"
48,1150,George Harvey Child Care Centre,Non Profit Agency,1700 KEELE ST,M6M 3W5,5,(416) 658-9244,Public High School,George Harvey Collegiate Institute,10,15,16,0,0,41,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.473699191, 43.684546506)}"
49,1157,Children's Circle Of St. Barnabas,Non Profit Agency,361 DANFORTH AVE,M4K 1P1,14,(416) 461-5151x6,Place of Worship,St. Barnabas Anglican Church,10,15,56,26,60,167,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.3523317834, 43.6772794352)}"
50,1160,Morningside Children's Centre,Commercial Agency,292 MORNINGSIDE AVE,M1E 3E7,24,(416) 282-9956,House,,0,15,26,0,0,41,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.1879386335, 43.7721629221)}"
51,1167,McNicoll Avenue Child Care Program,Non Profit Agency,155 MCNICOLL AVE,M2H 2C1,17,(416) 499-9743,Public (school closed),McNicoll Avenue Public School,10,15,24,0,0,49,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.358084393, 43.798981667)}"
52,1169,N.Y.A.D. Guildwood,Non Profit Agency,225 LIVINGSTON RD,M1E 1L8,24,(416) 261-6540,Public Elementary School,Guildwood Junior Public School,0,0,16,26,30,72,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.19998986, 43.7508296829)}"
53,1170,Arpi Nursery School,Commercial Agency,39 CARL HALL RD,M3K 2E2,6,(416) 781-1620,Industrial Building,,20,25,64,0,0,109,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.477937189, 43.746981167)}"
54,1174,Bonaventure Child Care Centre,Non Profit Agency,295 DUFFERIN ST,M6K 3G2,10,(416) 588-4318,High Rise Apartment,,10,25,32,0,0,67,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.4273079971, 43.6400499154)}"
55,1180,Children's Primary Centre,Non Profit Agency,177 BEVERLEY ST,M5T 1Y7,11,(416) 977-1204,Place of Worship,Chinese Presbyterian Church,0,0,9,22,0,31,N,06JUN22,"{'type': 'Point', 'coordinates': (-79.3942510896, 43.6555777735)}"
56,1182,Happy Day Child Care Centre,Commercial Agency,676 JANE ST,M6N 4A7,5,(416) 528-1469,Purpose Built,,0,0,24,12,20,56,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.4927883106, 43.6684582856)}"
57,1190,Humewood House Infant Centre,Non Profit Agency,40 HUMEWOOD DR,M6C 2W4,12,(416) 651-5657x226,House,Humewood House,10,15,0,0,0,25,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.427386594, 43.684175563)}"
58,1192,Nsheemaehn Child Care Centre,Non Profit Agency,1255 MILITARY TRAIL,M1C 1A3,25,(416) 287-7624,Purpose Built,University Of Toronto Scarborough Campus,10,20,24,0,0,54,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.188141955, 43.785651926)}"
59,1193,Childspace Day Care Corporation # 1 (50 Woodmount),Non Profit Agency,50 WOODMOUNT AVE,M4C 3X9,19,(416) 425-7763,Catholic Elementary School,St. Brigid's Catholic School,0,0,0,52,68,120,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.316847385, 43.686816763)}"
60,1194,Royal Day Care Centre Weston Inc,Commercial Agency,1737 WESTON RD,M9N 1V5,5,(416) 249-9115,Purpose Built,,0,10,56,0,39,105,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.510582113, 43.698647518)}"
61,1196,Rosalie Hall Early Learning And Child Care Centre,Non Profit Agency,3020 LAWRENCE AVE E,M1P 2T7,21,(416) 438-6880,Other,,20,25,24,0,0,69,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.2485258383, 43.7556002941)}"
62,1200,Alpha  (Brant Street Day Care),Non Profit Agency,20 BRANT ST,M5V 2M1,10,(416) 368-9735,Public Elementary School,Alpha Alternative Primary School,0,0,0,0,30,30,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.398222584, 43.645722027)}"
63,1201,Humewood Day Care Centre,Non Profit Agency,15 CHERRYWOOD AVE,M6C 2X4,12,(416) 658-8886,Public Elementary School,Humewood Community School,0,0,24,52,30,106,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.4280237018, 43.6866436809)}"
64,1204,Rexdale Day Nursery,Non Profit Agency,925 ALBION RD,M9V 1A6,1,(416) 743-5057,Community/Rec Centre - City,Thistletown Multi Service Centre,0,0,48,0,25,73,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.562580343, 43.735470478)}"
65,1205,Sandbox Day Care Centre,Commercial Agency,15 ORTON PARK RD,M1G 3G3,24,(416) 431-3327,High Rise Apartment,,0,10,38,12,28,88,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.2054482242, 43.7652112364)}"
66,1207,Humber Bay Child Care Centre,Non Profit Agency,50 CLOVERHILL RD,M8Y 1T3,3,(416) 251-8240,Public Elementary School,Etienne Brule Junior Public School,0,15,24,52,60,151,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.48968445, 43.635618734)}"
67,1211,Humber Child Development Centre,Non Profit Agency,205 HUMBER COLLEGE BLVD,M9W 5L7,1,(416) 675-5057,Community College/University,Humber College Of Applied Arts And Technology,20,30,48,0,0,98,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.606839866, 43.729166545)}"
68,1213,Avenue Road Nursery School,Commercial Agency,1498 AVENUE RD,M5N 2J1,8,(416) 783-2773,Place of Worship,St. Ansgar Church,0,30,64,0,0,94,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.4158334706, 43.7220582825)}"
69,1216,Roseland Day Care Centre,Non Profit Agency,990 JANE ST,M6N 4E2,5,(416) 763-0068,Public Elementary School,Roseland Public School,0,10,16,26,45,97,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.4990642754, 43.6812353739)}"
70,1221,Romero Bears Child Care Centre,Non Profit Agency,99 HUMBER BLVD,M6N 2H4,5,(416) 769-2328,Catholic High School,Archbishop Romero Catholic School,10,10,16,0,0,36,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.481017278, 43.68030900400001)}"
71,1229,Lescon Learners Child Care,Non Profit Agency,34 LESCON RD,M2J 2G6,17,(416) 499-7325,Public Elementary School,Lescon Public School,10,10,24,26,30,100,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.357738981, 43.780829622)}"
72,1231,Childspace Day Care Corporation # 2 (690 Carlaw),Non Profit Agency,690 CARLAW AVE,M4K 3K9,14,(416) 469-0560,Catholic Elementary School,Holy Name Catholic School,0,15,24,26,45,110,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.3472880616, 43.6773560871)}"
73,1232,Dawes Road Centre For Early Learning,Commercial Agency,391 DAWES RD,M4B 2E6,19,(416) 755-8348x221,Other,,20,20,40,0,0,80,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.2967584159, 43.7017780919)}"
74,1235,Silverstone Learning Centre,Commercial Agency,520 SILVERSTONE DR,M9V 3L5,1,(416) 741-0414,Public Elementary School,Melody Village Public School,0,10,16,20,30,76,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.594842585, 43.738134746)}"
75,1248,Brock Early Learning Centre,Non Profit Agency,93 MARGUERETTA ST,M6H 3S4,9,(416) 535-3491,Public Elementary School,Brock Avenue Public School,0,15,32,26,60,133,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.437844131, 43.653049691)}"
76,1250,Sunny Faces Day Care Centre - Rivercrest,Non Profit Agency,30 HAREFIELD DR,M9W 4C9,1,(416) 744-0778,Public Elementary School,Rivercrest Public School,0,0,24,39,50,113,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.569517738, 43.729716175)}"
77,1254,Baycrest Child Care Centre,Non Profit Agency,145 BAYCREST AVE,M6A 1W4,8,(416) 784-1316,Public Elementary School,Baycrest Public School,0,20,48,65,60,193,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.44425476050002, 43.726614369400004)}"
78,1255,Campus Community Co-Operative Day Care,Non Profit Agency,370 HURON ST,M5S 2G4,11,(416) 946-0875,Purpose Built,,10,15,24,0,0,49,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.4007272327, 43.6645893545)}"
79,1258,Carmelite Day Nursery,Non Profit Agency,108 HARRISON ST,M6J 2A3,9,(416) 536-5313,Purpose Built,,16,25,48,44,42,175,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.4219941918, 43.6512128942)}"
80,1266,Network Child Care Services - Just Kids Child Care Centre,Non Profit Agency,1695 KEELE ST,M6M 3W7,5,(416) 530-0722x4037,Place of Worship,York Memorial Church,10,20,32,0,0,62,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.472600901, 43.685143311)}"
81,1267,Plains Road Child Care Inc.,Non Profit Agency,520 PLAINS RD,M4C 2Z1,19,(416) 421-2273,Catholic Elementary School,Canadian Martyrs Catholic School,10,20,32,26,30,118,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.31934185470001, 43.69820851)}"
82,1271,J.R. Wilcox Day Care Centre,Non Profit Agency,231 AVA RD,M6C 1X3,12,(416) 656-1781,Public Elementary School,J.R. Wilcox Community School,10,15,24,39,60,148,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.4363085191, 43.6949553843)}"
83,1272,Silverthorn Day Care,Non Profit Agency,2700 EGLINTON AVE W,M6M 1V1,5,(416) 653-9702,Office Building,York Civic Centre,10,10,16,0,0,36,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.478412376, 43.689884238000005)}"
84,1278,Sheppard Square Day Nursery,Commercial Agency,5600 SHEPPARD AVE E,M1B 2L4,23,(416) 292-3607,High Rise Apartment,Apartment Building,10,30,48,0,30,118,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.2363445715, 43.7950106411)}"
85,1280,Tiny Treasure Montessori,Commercial Agency,627 BURNHAMTHORPE RD,M9C 2Y9,2,(416) 622-6443,Place of Worship,Renforth Baptist Church,0,10,48,12,0,70,N,06JUN22,"{'type': 'Point', 'coordinates': (-79.5732025422, 43.6436607437)}"
86,1285,Kingsview Child Care,Commercial Agency,340 DIXON RD,M9R 1T1,1,(416) 249-7601,High Rise Apartment,,20,15,40,0,24,99,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.5538551662, 43.6956175866)}"
87,1287,Terry Tan Child Centre (Bloordale),Non Profit Agency,4258 BLOOR ST W,M9C 1Z7,2,(416) 621-4822,Place of Worship,Bloordale United Church,10,25,32,0,0,67,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.5688556079, 43.6346279603)}"
88,1288,A & A Child Care Centre,Non Profit Agency,3380 MIDLAND AVE,M1V 5B5,22,(416) 298-4489,Other,,20,40,48,0,30,138,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.2903465402, 43.809302652700005)}"
89,1294,Cottingham Child Care Centre,Non Profit Agency,85 BIRCH AVE,M4V 1E3,12,(416) 929-6841,Public Elementary School,Cottingham Public School,0,0,24,26,30,80,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.39561225310001, 43.6803880219)}"
90,1297,West Hill Centre For Early Learning (Centres For Early Learning Inc.),Commercial Agency,4010 LAWRENCE AVE E,M1E 2R4,24,(416) 283-4294x221,High Rise Apartment,,10,15,40,0,0,65,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.1988475843, 43.7667315745)}"
91,1298,B.F. Toronto Centre For Early Childhood Education,Commercial Agency,45 GOLFDOWN DR,M9W 2H8,1,(416) 746-6542x200,Public Elementary School,The Elms Junior Middle School,0,10,24,26,30,90,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.552113787, 43.722227299000004)}"
92,1306,Bayview Gardens Day Care Centre,Commercial Agency,3125 BAYVIEW AVE,M2K 1G2,17,(416) 222-9405,Church,Greek Orthodox Community Centre,0,30,40,0,0,70,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.390626833, 43.781607059)}"
93,1309,Tlc - Tender Loving Care (Cross St.),Commercial Agency,44 CROSS ST,M9N 2B9,5,(416) 248-5401,House,,0,10,16,10,24,60,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.5259235589, 43.704991839)}"
94,1324,Cedarbrae Day Nursery (1375 Midland),Commercial Agency,1375 MIDLAND AVE,M1P 3B7,21,(416) 751-2358,High Rise Apartment,,20,35,16,0,0,71,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.2636073728, 43.7499873653)}"
95,1327,Catholic Settlement House Day Nursery,Non Profit Agency,131 MC CAUL ST,M5T 1W3,11,(647) 523-5423,Place of Worship,Catholic Settlement House,10,15,16,0,15,56,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.3912949983, 43.6546000665)}"
96,1328,Donald C. Macdonald Child Care Centre,Non Profit Agency,116 INDUSTRY ST,M6M 4L8,5,(416) 769-2328,Other,York Business Opportunities Centre,20,30,16,0,0,66,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.493091533, 43.694140114)}"
97,1335,Blaydon Community Day Care Centre,Non Profit Agency,25 BLAYDON AVE,M3M 2C9,6,(416) 638-1461,Public Elementary School,Blaydon Public School,0,10,21,26,22,79,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.486256135, 43.735357223)}"
98,1336,Lef - Vaughan Road Infant And Toddler Centre,Non Profit Agency,529 VAUGHAN RD,M6C 2R1,12,(416) 389-2925,Public High School,Vaughan Road Collegiate,10,15,16,0,0,41,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.436702823, 43.691021697)}"
99,1339,Cedarbrae Day Nursery,Commercial Agency,1385 MIDLAND AVE,M1P 3B8,21,(416) 751-0664,High Rise Apartment,,0,0,32,20,45,97,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.2638428764, 43.750636326)}"
100,1340,Central Eglinton Childrens' Centre,Non Profit Agency,223 EGLINTON AVE E,M4P 1L1,12,(416) 440-0383,Public Elementary School,Eglinton Public School,0,15,48,117,135,315,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.39085007040002, 43.707912337)}"
101,1347,Children Of Tomorrow - John McCrae,Non Profit Agency,431 MCCOWAN RD,M1J 1J1,21,(416) 261-9893,Public Elementary School,John McCrae Public School,0,0,0,26,60,86,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.239886514, 43.744044251)}"
102,1348,Brookhaven Child Care,Non Profit Agency,70 BROOKHAVEN DR,M6M 4N8,5,(416) 249-6587,Public Elementary School,Brookhaven Public School,0,15,24,52,60,151,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.49569767680002, 43.7025148929)}"
103,1350,Terry Tan Child Care (Rossburn) Facility #4450,Non Profit Agency,15 ROSSBURN DR,M9C 2P7,2,(416) 621-4822,Public Elementary School,Eatonville Public School,10,10,32,26,30,108,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.566615072, 43.637840779)}"
